approach,share_reviewed,accounts_reviewed,precision,recall
B5b Integrated risk score (top 1%),0.09000000000000001,835,0.46706586826347307,0.45720984759671746
B5b Integrated risk score (top 1%),0.095,881,0.4608399545970488,0.47596717467760846
B5b Integrated risk score (top 1%),0.1,928,0.4525862068965517,0.492379835873388
B5b Integrated risk score (top 1%),0.10500000000000001,974,0.4322381930184805,0.4935521688159437
B5b Integrated risk score (top 1%),0.11,1020,0.41568627450980394,0.4970691676436108
B5b Integrated risk score (top 1%),0.115,1067,0.3992502343017807,0.49941383352872215
B5b Integrated risk score (top 1%),0.12000000000000001,1113,0.3836477987421384,0.5005861664712778
B5b Integrated risk score (top 1%),0.125,1160,0.36982758620689654,0.5029308323563892
B5b Integrated risk score (top 1%),0.13,1206,0.3598673300165838,0.5087924970691676
B5b Integrated risk score (top 1%),0.135,1252,0.3514376996805112,0.5158264947245017
B5b Integrated risk score (top 1%),0.14,1299,0.34026173979984603,0.5181711606096131
B5b Integrated risk score (top 1%),0.14500000000000002,1345,0.3315985130111524,0.5228604923798359
B5b Integrated risk score (top 1%),0.15,1392,0.32471264367816094,0.52989449003517
B5b Integrated risk score (top 1%),0.155,1438,0.3184979137691238,0.536928487690504
B5b Integrated risk score (top 1%),0.16,1484,0.31266846361185985,0.5439624853458382
B5b Integrated risk score (top 1%),0.165,1531,0.30633572828216854,0.5498241500586166
B5b Integrated risk score (top 1%),0.17,1577,0.30057070386810397,0.5556858147713951
B5b Integrated risk score (top 1%),0.17500000000000002,1623,0.2951324707332101,0.5615474794841735
B5b Integrated risk score (top 1%),0.18000000000000002,1670,0.2904191616766467,0.5685814771395076
B5b Integrated risk score (top 1%),0.185,1716,0.28496503496503495,0.5732708089097304
B5b Integrated risk score (top 1%),0.19,1763,0.28077141236528647,0.5803048065650644
B5b Integrated risk score (top 1%),0.195,1809,0.2758430071862908,0.5849941383352872
B5b Integrated risk score (top 1%),0.2,1855,0.2706199460916442,0.5885111371629543
ML1 Logistic regression (unconstrained),0.005,46,1.0,0.053927315357561546
ML1 Logistic regression (unconstrained),0.01,93,1.0,0.10902696365767878
ML1 Logistic regression (unconstrained),0.015,139,1.0,0.16295427901524032
ML1 Logistic regression (unconstrained),0.02,186,1.0,0.21805392731535755
ML1 Logistic regression (unconstrained),0.025,232,1.0,0.2719812426729191
ML1 Logistic regression (unconstrained),0.030000000000000002,278,1.0,0.32590855803048063
ML1 Logistic regression (unconstrained),0.034999999999999996,325,1.0,0.3810082063305979
ML1 Logistic regression (unconstrained),0.04,371,0.9973045822102425,0.43376318874560377
ML1 Logistic regression (unconstrained),0.045,417,0.9904076738609112,0.48417350527549824
ML1 Logistic regression (unconstrained),0.049999999999999996,464,0.9827586206896551,0.5345838218053928
ML1 Logistic regression (unconstrained),0.05,464,0.9827586206896551,0.5345838218053928
ML1 Logistic regression (unconstrained),0.055,510,0.9764705882352941,0.5838218053927315
ML1 Logistic regression (unconstrained),0.06,557,0.9389587073608617,0.6131301289566237
ML1 Logistic regression (unconstrained),0.065,603,0.87893864013267,0.6213364595545134
ML1 Logistic regression (unconstrained),0.07,649,0.8228043143297381,0.6260257913247362
ML1 Logistic regression (unconstrained),0.07500000000000001,696,0.7701149425287356,0.6283704572098476
ML1 Logistic regression (unconstrained),0.08,742,0.72911051212938,0.634232121922626
ML1 Logistic regression (unconstrained),0.085,789,0.6894803548795945,0.6377491207502931
