variant,pr_auc,roc_auc,precision_top5pct
random_158,0.4571146628747603,0.7533967595515075,0.6896551724137931
random_159,0.4530337750865174,0.7533804075666131,0.6745689655172413
random_160,0.45447254137678655,0.7531308832354162,0.6810344827586207
random_161,0.4586380561182941,0.7537735510332229,0.6918103448275862
random_162,0.4558253668949793,0.7531732592303126,0.6724137931034483
random_163,0.45532804536811533,0.7533823558882176,0.6918103448275862
random_164,0.4576912182456471,0.75365435550078,0.6918103448275862
random_165,0.45626891664288877,0.7533701092952754,0.6918103448275862
random_166,0.4567320736621683,0.7533168087828113,0.6831896551724138
random_167,0.45848821915345206,0.7537909467618338,0.6918103448275862
random_168,0.4591451847605059,0.7538930248973235,0.6831896551724138
random_169,0.45902730946705095,0.753874167927509,0.6918103448275862
random_170,0.4527133729422326,0.752688614231209,0.6594827586206896
random_171,0.45693210083443647,0.7534280718630073,0.6918103448275862
random_172,0.45469941371966155,0.7534829727825039,0.6918103448275862
random_173,0.4571758949687916,0.7533732405264253,0.6831896551724138
random_174,0.4493024817042107,0.7520707875338591,0.6530172413793104
random_175,0.4585113552240841,0.7536869203047398,0.6875
random_176,0.4580414260502487,0.7537253996564274,0.6918103448275862
random_177,0.45687770525460936,0.753394324149502,0.6875
random_178,0.4561294458776873,0.7534156165213219,0.6918103448275862
random_179,0.4549858226344805,0.7533561231294721,0.6918103448275862
random_180,0.4584718511216617,0.753733192942845,0.6788793103448276
random_181,0.45743942161892126,0.7534714916016206,0.6767241379310345
random_182,0.4579163850857649,0.7535927746214968,0.6896551724137931
random_183,0.45701867647555744,0.7533795725716398,0.6918103448275862
random_184,0.4577423378079116,0.7536164328124078,0.6896551724137931
random_185,0.4547676699757853,0.7533701092952754,0.6918103448275862
random_186,0.4572692194147446,0.7534175648429263,0.6896551724137931
random_187,0.4540147723979859,0.7531661617730394,0.6810344827586207
